Learned Formula Size,Solving Time,Original Formula,Sample,Total Time,Encoding Time,Sample size,Learned Formula,Solver,Size Bound,Verification
2,0.03,((E(p U q)) & (AG q)),test_suite/random_3/Kripke/f:06-nw:025.sp,7.64,7.61,50,(AG q),z3,8,True
3,1.85,(E(p U q)),test_suite/random_3/Kripke/f:03-nw:050.sp,349.44,347.58,100,(E(p U q)),z3,8,True
2,0.04,(EF p),test_suite/random_3/Kripke/f:01-nw:025.sp,10.16,10.13,50,(EF p),z3,8,True
5,45.22,((AF p) & (EX q)),test_suite/random_3/Kripke/f:04-nw:050.sp,1506.82,1461.6,100,((AF p) & (EX q)),z3,8,True
5,6.05,((EG p) | (AF q)),test_suite/random_3/Kripke/f:05-nw:010.sp,44.63,38.58,20,((AF q) | (EG p)),z3,8,True
2,0.01,(AG q),test_suite/random_3/Kripke/f:02-nw:010.sp,1.24,1.23,20,(AX q),z3,8,True
3,0.35,(E(p U q)),test_suite/random_3/Kripke/f:03-nw:025.sp,55.14,54.8,50,(E(p U q)),z3,8,True
2,0.08,((E(p U q)) & (AG q)),test_suite/random_3/Kripke/f:06-nw:050.sp,40.28,40.2,100,(AG q),z3,8,True
5,36.86,((AF p) & (EX q)),test_suite/random_3/Kripke/f:04-nw:025.sp,304.41,267.55,50,((AF p) & (EX q)),z3,8,True
2,0.09,(EF p),test_suite/random_3/Kripke/f:01-nw:050.sp,55.58,55.49,100,(EF p),z3,8,True
2,0.23,(AG q),test_suite/random_3/Kripke/f:02-nw:100.sp,245.45,245.22,200,(AG q),z3,8,True
,0,((EG p) | (AF q)),test_suite/random_3/Kripke/f:05-nw:100.sp,0,0,200,,z3,8,
2,0.01,(EF p),test_suite/random_3/Kripke/f:01-nw:010.sp,1.38,1.37,20,(EF p),z3,8,True
,0,(E(p U q)),test_suite/random_3/Kripke/f:03-nw:100.sp,0,0,200,,z3,8,
2,0.0,((E(p U q)) & (AG q)),test_suite/random_3/Kripke/f:06-nw:010.sp,0.96,0.96,20,(EG q),z3,8,True
,0,((AF p) & (EX q)),test_suite/random_3/Kripke/f:04-nw:100.sp,0,0,200,,z3,8,
2,0.02,(AG q),test_suite/random_3/Kripke/f:02-nw:025.sp,7.91,7.89,50,(AG q),z3,8,True
5,51.06,((EG p) | (AF q)),test_suite/random_3/Kripke/f:05-nw:025.sp,400.45,349.39,50,((AF q) | (EG p)),z3,8,True
4,1.49,((AF p) & (EX q)),test_suite/random_3/Kripke/f:04-nw:010.sp,21.9,20.41,20,(E((EX q) U (AX q))),z3,8,True
2,0.25,((E(p U q)) & (AG q)),test_suite/random_3/Kripke/f:06-nw:100.sp,192.58,192.33,200,(AG q),z3,8,True
3,0.03,(E(p U q)),test_suite/random_3/Kripke/f:03-nw:010.sp,7.83,7.79,20,(E(p U q)),z3,8,True
2,0.32,(EF p),test_suite/random_3/Kripke/f:01-nw:100.sp,341.96,341.64,200,(EF p),z3,8,True
2,0.08,(AG q),test_suite/random_3/Kripke/f:02-nw:050.sp,38.92,38.84,100,(AG q),z3,8,True
,0,((EG p) | (AF q)),test_suite/random_3/Kripke/f:05-nw:050.sp,0,0,100,,z3,8,
