Sample,Sample size,Size Bound,Original Formula,MSAT Learned Formula,Z3 Learned Formula,MSAT Encoding Time,Z3 Encoding Time,,MSAT Solving Time,Z3 Solving Time,,MSAT Total Time,Z3 Total Time
test_suite/random_4/Kripke/f:01-nw:010.sp,20,15,(AG (p | q)),(AG (q | p)),(AG (p | q)),4.86,11.72,,0.38,0.21,,5.23,11.93
test_suite/random_4/Kripke/f:01-nw:025.sp,50,15,(AG (p | q)),(AG (q | p)),(AG (p | q)),33.91,116.04,,1.7,3.19,,35.6,119.23
test_suite/random_4/Kripke/f:01-nw:050.sp,100,15,(AG (p | q)),(AG (q | p)),(AG (q | p)),117.76,505.11,,3.02,6.18,,120.78,511.3
test_suite/random_4/Kripke/f:01-nw:075.sp,150,15,(AG (p | q)),(AG (p | q)),(AG (p | q)),261.94,1350.65,,2.5,13.54,,264.43,1364.19
test_suite/random_4/Kripke/f:01-nw:100.sp,200,15,(AG (p | q)),(AG (q | p)),,435.38,1800,,5.1,1800,,440.48,1800
test_suite/random_4/Kripke/f:02-nw:010.sp,20,15,(AG (AF p)),(AG (AF p)),(AG (AF p)),4.03,11.11,,0.2,0.19,,4.23,11.3
test_suite/random_4/Kripke/f:02-nw:025.sp,50,15,(AG (AF p)),(AG (AF p)),(AG (AF p)),18.7,66.05,,0.45,0.31,,19.15,66.36
test_suite/random_4/Kripke/f:02-nw:050.sp,100,15,(AG (AF p)),(AG (AF p)),(AG (AF p)),74.17,360.86,,1.17,0.48,,75.34,361.34
test_suite/random_4/Kripke/f:02-nw:075.sp,150,15,(AG (AF p)),(AG (AF p)),(AG (AF p)),156.25,1003.55,,1.29,2.89,,157.54,1006.44
test_suite/random_4/Kripke/f:02-nw:100.sp,200,15,(AG (AF p)),(AG (AF p)),,271.7,1800,,1.92,1800,,273.61,1800
test_suite/random_4/Kripke/f:03-nw:010.sp,20,15,((AG (AF p)) & (AG (AF q))),(AG (A((EF p) U q))),(AG (A((AF p) U q))),12.97,36.61,,4.12,40.1,,17.08,76.71
test_suite/random_4/Kripke/f:03-nw:025.sp,50,15,((AG (AF p)) & (AG (AF q))),(AG ((AF q) & (E((AF q) U p)))),(AG (AF (q & (E(q U p))))),125.87,460.9,,55.24,253.64,,181.11,714.54
test_suite/random_4/Kripke/f:03-nw:050.sp,100,15,((AG (AF p)) & (AG (AF q))),((AF p) & (AG (A((AF p) U q)))),,486.79,1800,,51.52,1800,,538.31,1800
test_suite/random_4/Kripke/f:03-nw:075.sp,150,15,((AG (AF p)) & (AG (AF q))),(AG ((AF p) & (AF q))),,1143.92,1800,,112.96,1800,,1256.87,1800
test_suite/random_4/Kripke/f:03-nw:100.sp,200,15,((AG (AF p)) & (AG (AF q))),,,1800,1800,,1800,1800,,1800,1800
test_suite/random_4/Kripke/f:04-nw:010.sp,20,15,(AG (p | (AX q))),(AG (p | (AX q))),(AG (p | (AX q))),10.48,27.97,,3.23,7.04,,13.71,35.01
test_suite/random_4/Kripke/f:04-nw:025.sp,50,15,(AG (p | (AX q))),(AG ((AX q) | p)),(AG ((AX q) | p)),53.01,177.07,,5.4,25.23,,58.41,202.3
test_suite/random_4/Kripke/f:04-nw:050.sp,100,15,(AG (p | (AX q))),(AG (p | (AX q))),(AG ((AX q) | p)),213.2,897.86,,8.96,44.25,,222.16,942.12
test_suite/random_4/Kripke/f:04-nw:075.sp,150,15,(AG (p | (AX q))),(AG (p | (AX q))),,484.21,1800,,22.79,1800,,507.01,1800
test_suite/random_4/Kripke/f:04-nw:100.sp,200,15,(AG (p | (AX q))),(AG (p | (AX q))),,874.07,1800,,29.96,1800,,904.03,1800
test_suite/random_4/Kripke/f:05-nw:010.sp,20,15,(AG (p -> (AF q))),(AG (p -> (AF q))),(AG (p -> (AF q))),9.98,25.1,,3.52,8.69,,13.5,33.79
test_suite/random_4/Kripke/f:05-nw:025.sp,50,15,(AG (p -> (AF q))),(AG (p -> (AF q))),(AG (p -> (AF q))),72.39,254.52,,3.1,11.12,,75.49,265.65
test_suite/random_4/Kripke/f:05-nw:050.sp,100,15,(AG (p -> (AF q))),(AG (p -> (AF q))),(AG (p -> (AF q))),319,1496.75,,13.23,91.56,,332.23,1588.31
test_suite/random_4/Kripke/f:05-nw:075.sp,150,15,(AG (p -> (AF q))),(AG (p -> (AF q))),,709.4,1800,,30.77,1800,,740.17,1800
test_suite/random_4/Kripke/f:05-nw:100.sp,200,15,(AG (p -> (AF q))),(AG (p -> (AF q))),,1178.91,1800,,16.05,1800,,1194.96,1800
test_suite/random_4/Kripke/f:06-nw:010.sp,20,15,(AG (EF q)),(AG (EF q)),(AG (EF q)),3.45,9.27,,0.15,0.1,,3.59,9.37
test_suite/random_4/Kripke/f:06-nw:025.sp,50,15,(AG (EF q)),(AG (EF q)),(AG (EF q)),19.31,69.61,,0.43,0.51,,19.75,70.12
test_suite/random_4/Kripke/f:06-nw:050.sp,100,15,(AG (EF q)),(AG (EF q)),(AG (EF q)),66.29,324.86,,0.92,0.44,,67.21,325.31
test_suite/random_4/Kripke/f:06-nw:075.sp,150,15,(AG (EF q)),(AG (EF q)),(AG (EF q)),139.33,878.22,,1.23,0.69,,140.56,878.91
test_suite/random_4/Kripke/f:06-nw:100.sp,200,15,(AG (EF q)),(AG (EF q)),,254.71,1800,,1.77,1800,,256.48,1800
,,,,,,,,,,,Timeouts,1,10
