Size Bound,Encoding Time,Verification,Original Formula,Solving Time,Learned Formula,Learned Formula Size,Sample size,Sample,Solver,Total Time
15,1.61,True,,79.75,(EX (EX (EX (EX (EX (EX p)))))),7,2,test_suite/increasing_sample/ex_sample6.sp,msat,81.36
15,0,,,0,,,2,test_suite/increasing_sample/ex_sample7.sp,msat,0
15,0.53,True,,0.11,(EX (EX (EX (EX p)))),5,2,test_suite/increasing_sample/ex_sample4.sp,msat,0.64
15,0.93,True,,3.04,(EX (EX (EX (EX (EX p))))),6,2,test_suite/increasing_sample/ex_sample5.sp,msat,3.97
15,0.23,True,,0.01,(EX (EX p)),3,2,test_suite/increasing_sample/ex_sample2.sp,msat,0.24
15,0.33,True,,0.05,(EX (EX (EX p))),4,2,test_suite/increasing_sample/ex_sample3.sp,msat,0.37
15,0.18,True,,0.0,(EX p),2,2,test_suite/increasing_sample/ex_sample1.sp,msat,0.18
15,0,,,0,,,2,test_suite/increasing_sample/ex_sample9.sp,msat,0
15,0,,,0,,,2,test_suite/increasing_sample/ex_sample10.sp,msat,0
15,0,,,0,,,2,test_suite/increasing_sample/ex_sample8.sp,msat,0
